"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006453","Liverpool City Region","Knowsley 008A",163849.371106,2847.30310850779,317,1,68.706,317,1,0.421,244,1,0.339,183,1,57.731,2012,1,1.963,389,1,0.751,5926,2,15.352,22541,7,38.096,4948,2,0.433,913,1,0.52,529,1,0.864,4856,2,0.541,954,1,-0.816,28150,9,1.185,9766,3,0.829,5385,2,0.63,7144,3,1176,299,674,203,663
"E01006454","Liverpool City Region","Knowsley 002A",246181.3544505,4859.18853930232,10077,4,26.169,10077,4,0.143,11166,4,0.119,9797,3,27.972,9407,3,1.069,3737,2,-0.42,22696,7,23.532,12629,4,19.898,15370,5,0.129,16159,5,0.197,10200,4,-0.061,17075,6,0.428,5126,2,0.679,6060,2,-1.167,21617,7,0.033,15924,5,0.373,9850,3,1198,135,641,422,661
"E01006455","Liverpool City Region","Knowsley 004A",420328.1009095,3361.08230925292,238,1,70.978,238,1,0.431,200,1,0.322,277,1,66.214,1073,1,2.063,287,1,0.948,3945,2,16.617,20901,7,36.635,5522,2,0.607,41,1,0.386,2168,1,1.18,2508,1,0.551,761,1,-0.523,24406,8,1.103,10081,4,0.776,5943,2,0.623,7199,3,1727,382,945,400,965.5
"E01006456","Liverpool City Region","Knowsley 002B",408376.882701,4273.99540345438,6358,2,33.737,6358,2,0.19,7296,3,0.153,6286,2,29.892,8622,3,1.291,2395,1,0.194,13620,5,26.848,9422,3,21.408,14259,5,0.185,11167,4,0.324,3795,2,0.254,12090,4,0.411,6144,2,0.734,5503,2,-0.458,17646,6,0.253,12543,4,0.142,12985,4,1540,227,906,407,918.75
"E01006457","Liverpool City Region","Knowsley 002C",438667.4081215,3514.18164328277,9956,4,26.366,9956,4,0.14,11473,4,0.153,6264,2,26.287,10161,4,0.944,4657,2,-0.5,23798,8,15.943,21746,7,22.033,13822,5,0.162,12933,4,0.173,12051,4,-0.231,19914,7,0.428,5105,2,0.316,10541,4,-1.782,24800,8,0.187,13511,5,0.337,10278,4,1182,99,566,517,598.75
"E01006458","Liverpool City Region","Knowsley 002D",328729.1336715,3920.24465646593,1566,1,54.167,1566,1,0.298,2276,1,0.265,978,1,57.476,2041,1,1.798,662,1,0.123,14762,5,25.705,10453,4,24.216,12283,4,0.319,3636,2,0.388,2119,1,1.141,2754,1,0.505,1919,1,0.474,8317,3,0.423,13111,4,0.347,11245,4,0.277,11055,4,1340,232,741,367,748
"E01006459","Liverpool City Region","Knowsley 009A",289183.686484,3113.82782606714,8653,3,28.702,8653,3,0.156,9988,4,0.133,8206,3,20.828,13250,5,1.143,3215,1,0.566,8186,3,11.18,27433,9,30.528,8498,3,0.173,12035,4,0.212,9145,3,0.256,12050,4,0.317,14074,5,-0.262,20277,7,-0.845,19796,7,0.494,9279,3,0.66,6860,3,1543,271,938,334,943.5
"E01006460","Liverpool City Region","Knowsley 007A",263428.4978815,3690.50498909039,153,1,73.046,153,1,0.427,215,1,0.331,215,1,75.324,493,1,2.254,157,1,1.282,1830,1,15.929,21773,7,23.1,13058,4,0.463,571,1,0.409,1692,1,1.488,1071,1,0.559,626,1,-0.751,27432,9,1.251,9517,3,0.107,14795,5,0.605,7382,3,1657,467,901,289,897.75
"E01006461","Liverpool City Region","Knowsley 007B",309528.060938,3748.70573813668,955,1,59.496,955,1,0.317,1736,1,0.288,585,1,66.419,1046,1,1.679,918,1,0.595,7816,3,14.995,23026,8,38.333,4870,2,0.378,1900,1,0.308,4371,2,1.387,1426,1,0.522,1422,1,-0.475,23687,8,0.667,12034,4,0.915,4554,2,0.396,9566,3,1522,354,908,260,883.5
"E01006462","Liverpool City Region","Knowsley 009B",275281.9120395,2387.6166429789,13539,5,21.027,13539,5,0.116,14192,5,0.102,12213,4,20.376,13552,5,0.731,6580,3,-0.227,20008,7,10.927,27707,9,30.687,8418,3,0.146,14370,5,0.154,13747,5,0.124,14099,5,0.332,12528,4,-0.167,18685,6,-1.225,21969,7,0.541,8656,3,0.566,7724,3,1420,261,804,355,817
